sku,product_id,drop_m,swl_kg,description,active
PLEK1G,loop-it,1,15,Loop-It 1m 15kg - standard loop suspension system,TRUE
PLEK2G,loop-it,2,15,Loop-It 2m 15kg - standard loop suspension system,TRUE
PLEK3G,loop-it,3,15,Loop-It 3m 15kg - standard loop suspension system,TRUE
PLEK4G,loop-it,4,15,Loop-It 4m 15kg - standard loop suspension system,TRUE
PLEK5G,loop-it,5,15,Loop-It 5m 15kg - standard loop suspension system,TRUE
PLEK10G,loop-it,10,15,Loop-It 10m 15kg - standard loop suspension system,TRUE
PLEK1S,loop-it,1,50,Loop-It 1m 50kg - standard loop suspension system,TRUE
PLEK2S,loop-it,2,50,Loop-It 2m 50kg - standard loop suspension system,TRUE
PLEK3S,loop-it,3,50,Loop-It 3m 50kg - standard loop suspension system,TRUE
PLEK4S,loop-it,4,50,Loop-It 4m 50kg - standard loop suspension system,TRUE
PLEK5S,loop-it,5,50,Loop-It 5m 50kg - standard loop suspension system,TRUE
PLEK10S,loop-it,10,50,Loop-It 10m 50kg - standard loop suspension system,TRUE
PLEK1Y,loop-it,1,90,Loop-It 1m 90kg - standard loop suspension system,TRUE
PLEK2Y,loop-it,2,90,Loop-It 2m 90kg - standard loop suspension system,TRUE
PLEK3Y,loop-it,3,90,Loop-It 3m 90kg - standard loop suspension system,TRUE
PLEK4Y,loop-it,4,90,Loop-It 4m 90kg - standard loop suspension system,TRUE
PLEK5Y,loop-it,5,90,Loop-It 5m 90kg - standard loop suspension system,TRUE
PLEK10Y,loop-it,10,90,Loop-It 10m 90kg - standard loop suspension system,TRUE
PLEK1P,loop-it,1,300,Loop-It 1m 300kg - standard loop suspension system,TRUE
PLEK2P,loop-it,2,300,Loop-It 2m 300kg - standard loop suspension system,TRUE
PLEK3P,loop-it,3,300,Loop-It 3m 300kg - standard loop suspension system,TRUE
PLEK4P,loop-it,4,300,Loop-It 4m 300kg - standard loop suspension system,TRUE
PLEK5P,loop-it,5,300,Loop-It 5m 300kg - standard loop suspension system,TRUE
PLEK10P,loop-it,10,300,Loop-It 10m 300kg - standard loop suspension system,TRUE
PLEK1N,loop-it,1,500,Loop-It 1m 500kg - standard loop suspension system,TRUE
PLEK2N,loop-it,2,500,Loop-It 2m 500kg - standard loop suspension system,TRUE
PLEK3N,loop-it,3,500,Loop-It 3m 500kg - standard loop suspension system,TRUE
PLEK4N,loop-it,4,500,Loop-It 4m 500kg - standard loop suspension system,TRUE
PLEK5N,loop-it,5,500,Loop-It 5m 500kg - standard loop suspension system,TRUE
PLEK10N,loop-it,10,500,Loop-It 10m 500kg - standard loop suspension system,TRUE
CLG1,con-lock,1,15,Con-Lock 1m 15kg - concrete suspension system,TRUE
CLG2,con-lock,2,15,Con-Lock 2m 15kg - concrete suspension system,TRUE
CLG3,con-lock,3,15,Con-Lock 3m 15kg - concrete suspension system,TRUE
CLG4,con-lock,4,15,Con-Lock 4m 15kg - concrete suspension system,TRUE
CLG5,con-lock,5,15,Con-Lock 5m 15kg - concrete suspension system,TRUE
CLG10,con-lock,10,15,Con-Lock 10m 15kg - concrete suspension system,TRUE
CLS1,con-lock,1,50,Con-Lock 1m 50kg - concrete suspension system,TRUE
CLS2,con-lock,2,50,Con-Lock 2m 50kg - concrete suspension system,TRUE
CLS3,con-lock,3,50,Con-Lock 3m 50kg - concrete suspension system,TRUE
CLS4,con-lock,4,50,Con-Lock 4m 50kg - concrete suspension system,TRUE
CLS5,con-lock,5,50,Con-Lock 5m 50kg - concrete suspension system,TRUE
CLS10,con-lock,10,50,Con-Lock 10m 50kg - concrete suspension system,TRUE
CLY1,con-lock,1,70,Con-Lock 1m 70kg - concrete suspension system,TRUE
